Heiti umboðsmanns;(All);;212;;;363;;151
;;;0;;;;;
Row Labels;;VENDOR;ID;;;;;
;;#Ísdal ehf.;550394-2359;;;000070009;;
000070009;;#Nathan & Olsen ehf.;570169-0339;;;000070068;;
000070068;;ÁGM ehf;470169-1419;;;000077002;;
000077002;;Ako/Plastos hf;420765-0299;;;00070621;;
00070621;;Albert Guðmunds heildv;420369-7789;;;00070622;;
00070622;;Albert Guðmunds heildv/hættur;420369-7789;;;00070808;;
00070808;;Albert Guðmundsson;420369-7789;;;00070901;;
00070901;;Albert Guðmundsson heildverslu;530303-2410;;;00071204;;
00071204;;Albert Guðmundsson,;550389-2669;;;00071307;;
00071307;;Albert Guðmundsson, heildv.;550389-2669;;;00073017;;
00073017;;Allied Domecq ehf.;550595-2579;;;00073221;;
00073221;;Allied Domecq Ísland;550595-2579;;;00074057;;
00074057;;Allied Domecq Spirit;550595-2579;;;00074152;;
00074152;;Arka ehf;590902-3140;;;00077001;;
00077001;;Ásbjörn Ólafsson;430169-2709;;;00077013;;
00077013;;Ásbjörn Ólafsson ehf;430169-2709;;;00079101;;
00079101;;Ásbjörn Ólafsson ehf.;430169-2709;;;00079220;;
00079220;;At ehf.;700802-2210;;;00079228;;
00079228;;Austurbakki h.f.;511105-1290;;;00079232;;
00079232;;Austurbakki hf;511105-1290;;;00079240;;
00079240;;Austurbakki hf.;580483-0709;;;00079243;;
00079243;;Bakkus ehf;530303-2410;;;00079275;;
00079275;;Baltik Export;530303-2410;;;00079910;;
00079910;;Baltis;00079927;;;00079917;;
00079917;;Barik ehf;;;;00079925;;
00079925;;Ber ehf;550394-2359;;;00079927;;
00079927;;Bitburger-umboðið;520269-1189;;;00079932;;
00079932;;Bjór og vín ehf;451205-0560;;;00170022;;
00170022;;Blindravinnustofan;530303-2410;;;00170060;;
00170060;;Borg, heildverslun;00079932;;;00172113;;
00172113;;Bourgogne;470205-0400;;;00173009;;
00173009;;Bræðurnir Ormsson eh;420178-0349;;;00174104;;
00174104;;Bræðurnir Ormsson ehf;711284-0799;;;00178306;;
00178306;;Bræðurnir Ormsson ehf.;711284-0799;;;00179217;;
00179217;;Bræðurnir Ormsson h.;420178-0349;;;00179275;;
00179275;;Bruggsmiðjan ehf;541205-1520;;;00270028;;
00270028;;Budweiser umboðið;601289-1489;;;00270110;;
00270110;;Catco;420369-7789;;;00278806;;
00278806;;Catco hf;460493-2189;;;06960;;
06960;;Catco hf.;420895-2599;;;130163-2549;;
130163-2549;;Danco - Daníel Pétursson ehf;490689-2499;;;150569-3709;;
