No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
00001;Sérpöntun-rauðvín;0;;01;0;0;FL.;0;;
00002;Inneignarnóta;0;;;0;0;STK.;0;;
00006;Albert Bichot Saint-Emilion;2698;REYNSLA;01;0;2;FL.;750;Habe ehf.;530303-2410
00022;Cordier Margaux Collection Privée;2190;REYNSLA;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00025;Chateau Haut-Batailley Pauillac;6999;SÉRFLOKKUR;01;3;2;FL.;750;Karl K. Karlsson hei;550595-2579
00026;Beau Rivage;1090;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00028;Chateau Ducla;1340;REYNSLA;01;0;2;FL.;750;Icemex ehf.;430671-0149
00030;Chateau La Fleur Bonnet;2100;REYNSLA;01;0;2;FL.;750;Icemex ehf.;450298-2399
00032;Bouchard Aine Mercurey Reserve;0;KJARNI;01;0;2;FL.;750;;
00033;Chateau de Rions;2490;SÉRPÖNTUN;01;3;2;FL.;750;Vínval ehf.,;600896-2539
00034;Chateau de Rions Jólavín;1050;SÉRPÖNTUN;01;3;2;FL.;750;Vínval ehf.;600896-2539
00039;Mouton Cadet;2499;KJARNI;01;3;2;FL.;750;Lind ehf.;530303-2410
00043;Malesan;1190;KJARNI;01;0;2;FL.;750;Austurbakki h.f.;511105-1290
00044;Mouton Cadet;2180;KJARNI;01;0;2;FL.;1500;Lind ehf.;530354-0169
00046;Chateau Coucheroy;3295;SÉRFLOKKUR;01;3;2;FL.;750;Vínland;491007-1680
00047;Fonset Lacour;770;KJARNI;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00048;Chateau Coucheroy;780;REYNSLA;01;0;2;FL.;375;Vínland;550394-2359
00050;Le Piat Merlot;990;KJARNI;01;0;2;FL.;750;Karl K. Karlsson hei;601289-1489
00051;Piat de Beaujolais;1090;KJARNI;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00052;Piat de Beaujolais;550;KJARNI;01;0;2;FL.;375;Karl K. Karlsson;601289-1489
00053;Piat Fleurie;1210;KJARNI;01;0;2;FL.;750;Karl K. Karlsson;601289-1489
00057;Pasquier-Desvignes Fleurie;1250;REYNSLA;01;0;2;FL.;750;Silva tré og stál eh;
00059;Bouchard Aine Beaujolais Nouveau 2006;1040;MÁNAÐARFL;01;3;2;FL.;750;Glóbus hf.;570169-0339
00060;Piat Beaujolais Nouveau;1040;MÁNAÐARFL;01;3;2;FL.;750;Karl K. Karlsson hei;601289-1489
00061;Mommessin Beaujolais Nouveau;1090;MÁNAÐARFL;01;3;2;FL.;750;Albert Guðmundsson,;550389-2669
00062;Georges Duboeuf Beaujolais-Villages Nouveau;1913;MÁNAÐARFL;01;3;2;FL.;750;Lind ehf.;530303-2410
00066;Joseph Drouhin Beaujolais-Villages Nouveau 2008;1772;MÁNAÐARFL;01;3;2;FL.;750;Lind ehf.;530303-2410
00068;Georges Blanc Beaujolais Nouveau;1220;MÁNAÐARFL;01;3;2;FL.;750;Austurbakki h.f.;580483-0709
00070;Bouchard Aine Mercurey Premier Cru;4199;SÉRFLOKKUR;01;3;2;FL.;750;Glóbus h.f.,;570169-0339
00073;Pere Patriarche;1050;REYNSLA;01;0;2;FL.;750;Lind ehf.;420369-7789
00074;Cavalier Royal;890;KJARNI;01;0;2;FL.;750;Icemex ehf.;420369-7789
00075;Paul Jaboulet Les Cedres Chateauneuf du Pape;5799;SÉRFLOKKUR;01;3;2;FL.;750;Nathan & Olsen;470169-1419
00076;Paul Jaboulet Chateauneuf-du-Pape Les Cedres;0;;01;0;0;;375;;570169-0339
00077;La Fiole du Pape;3999;KJARNI;01;0;2;FL.;750;Lind ehf.;530303-2410
00086;Mommessin Cotes du Rhone Les Epices;850;REYNSLA;01;0;2;FL.;750;Albert Guðmundsson,;550389-2669
00091;Cavalier de France;790;KJARNI;01;0;2;FL.;750;Glóbus h.f.;570169-0339
